description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 Standard Gems + 1 Socketed Weapon ->  Socketed Magic Weapon	1				0					4	"weap,sock"	"gem2,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
3 Flawless Gems + 1 Magic Weapon -> Socketed Magic Weapon	1				0					4	"weap,mag"	"gem3,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
1 Magic Shield + 1 Spiked Club + 2 Skulls (Any) -> Magic Shield of Spikes	1				0					4	"shld,mag"	"gemz,qty=2"	spc					"usetype,mag,suf=162"	30		60																																																																																				0
4 Healing Potions (Any) + 1 Standard Ruby + 1 Magic Sword -> Sword of the Leech	1				0					6	"swor,mag"	gemr	"hpot,qty=4"					"usetype,mag,suf=352"	30		60																																																																																				0
1 Diamond (Any) + 1 Kris + 1 Staff + 1 Belt -> Savage Polearm	1				0					4	kri	gemd	staf	belt				"pole,mag,pre=191"	50		60																																																																																				0
1 Strangling Gas Potion + 1 Healing Potion (Any) -> Antidote Potion	1				0					2	gpl	hpot						yps																																																																																							0
2 Arrows -> Bolts	1				0					2	"aqv,qty=2"							cqv																																																																																							0
2 Bolts -> Arrows	1				0					2	"cqv,qty=2"							aqv																																																																																							0
3 Chipped Amethysts -> Flawed Amethyst	1				0					3	"gcv,qty=3"							gfv																																																																																							0
3 Flawed Amethysts -> Standard Amethyst	1				0					3	"gfv,qty=3"							gsv																																																																																							0
3 Standard Amethysts -> Flawless Amethyst	1				0					3	"gsv,qty=3"							gzv																																																																																							0
3 Flawless Amethysts -> Perfect Amethyst	1				0					3	"gzv,qty=3"							gpv																																																																																							0
3 Chipped Rubies -> Flawed Ruby	1				0					3	"gcr,qty=3"							gfr																																																																																							0
3 Flawed Rubies -> Standard Ruby	1				0					3	"gfr,qty=3"							gsr																																																																																							0
3 Standard Rubies -> Flawless Ruby	1				0					3	"gsr,qty=3"							glr																																																																																							0
3 Flawless Rubies -> Perfect Ruby	1				0					3	"glr,qty=3"							gpr																																																																																							0
3 Chipped Sapphires -> Flawed Sapphire	1				0					3	"gcb,qty=3"							gfb																																																																																							0
3 Flawed Sapphires -> Standard Sapphire	1				0					3	"gfb,qty=3"							gsb																																																																																							0
3 Standard Sapphires -> Flawless Sapphire	1				0					3	"gsb,qty=3"							glb																																																																																							0
3 Flawless Sapphires -> Perfect Sapphire	1				0					3	"glb,qty=3"							gpb																																																																																							0
3 Chipped Topazes -> Flawed Topaz	1				0					3	"gcy,qty=3"							gfy																																																																																							0
3 Flawed Topazes -> Standard Topaz	1				0					3	"gfy,qty=3"							gsy																																																																																							0
3 Standard Topazes -> Flawless Topaz	1				0					3	"gsy,qty=3"							gly																																																																																							0
3 Flawless Topazes -> Perfect Topaz	1				0					3	"gly,qty=3"							gpy																																																																																							0
3 Chipped Emeralds -> Flawed Emerald	1				0					3	"gcg,qty=3"							gfg																																																																																							0
3 Flawed Emeralds -> Standard Emerald	1				0					3	"gfg,qty=3"							gsg																																																																																							0
3 Standard Emeralds -> Flawless Emerald	1				0					3	"gsg,qty=3"							glg																																																																																							0
3 Flawless Emeralds -> Perfect Emerald	1				0					3	"glg,qty=3"							gpg																																																																																							0
3 Chipped Diamonds -> Flawed Diamond	1				0					3	"gcw,qty=3"							gfw																																																																																							0
3 Flawed Diamonds -> Standard Diamond	1				0					3	"gfw,qty=3"							gsw																																																																																							0
3 Standard Diamonds -> Flawless Diamond	1				0					3	"gsw,qty=3"							glw																																																																																							0
3 Flawless Diamonds -> Perfect Diamond	1				0					3	"glw,qty=3"							gpw																																																																																							0
3 Chipped Skulls -> Flawed Skull	1				0					3	"skc,qty=3"							skf																																																																																							0
3 Flawed Skulls -> Standard Skull	1				0					3	"skf,qty=3"							sku																																																																																							0
3 Standard Skulls -> Flawless Skull	1				0					3	"sku,qty=3"							skl																																																																																							0
3 Flawless Skulls -> Perfect Skull	1				0					3	"skl,qty=3"							skz																																																																																							0
3 El Runes -> Eld Rune	1				100					3	"r01,qty=3"							r02																																																																																							0
3 Eld Runes -> Tir Rune	1				100					3	"r02,qty=3"							r03																																																																																							0
3 Tir Runes -> Nef Rune	1				100					3	"r03,qty=3"							r04																																																																																							0
3 Nef Runes -> Eth Rune	1				100					3	"r04,qty=3"							r05																																																																																							0
3 Eth Runes -> Ith Rune	1				100					3	"r05,qty=3"							r06																																																																																							0
3 Ith Runes -> Tal Rune	1				100					3	"r06,qty=3"							r07																																																																																							0
3 Tal Runes -> Ral Rune	1				100					3	"r07,qty=3"							r08																																																																																							0
3 Ral Runes -> Ort Rune	1				100					3	"r08,qty=3"							r09																																																																																							0
3 Ort Runes -> Thul Rune	1				100					3	"r09,qty=3"							r10																																																																																							0
3 Perfect Gems (Any) + 1 Magic Item -> Re-rolled Magic Item	1				100					4	"any,mag"	"gem4,qty=3"						"usetype,mag"			100																																																																																				0
6 Perfect Skulls + 1 Rare Item -> 1 Low Quality Rare Item	1				0					7	"any,rar"	"skz,qty=6"						"usetype,rar"		40	40																																																																																				0
1 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> 1 High Quality Rare Item	1				0					3	"any,rar"	skz	The Stone of Jordan					"usetype,rar"		66	66																																																																																				0
3 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> Add 1 Socket to Rare Item	1				0					5	"any,rar,nos"	"skz,qty=3"	The Stone of Jordan					"useitem,sock=1"																																																																																							0
1 Magic Mask +  2 Jewel (Mini Cube) + 1 Tir Rune -> Magic Find Helm	1				100	15				3	y01	"msk,mag"	r03					useitem				JB-Total			-2	-2																					"msk,crf"				mag%		1	5	3	hp			10	7	manasteal			1	4											r03																													0
1 Magic Heavy Boots +  2 Jewel (Mini Cube) + 1 Tir Rune + 1 Perfect Topaz -> Magic Find Boots	1				100	15				3	y01	"vbt,mag"	r03					useitem				JB-Total			-2	-2																					"vbt,crf"				mag%		1	5	3	hp			10	7	mana%			2	5											r03																													0
1 Magic Heavy Gloves +  2 Jewel (Mini Cube) + 1 Tir Rune + 1 Perfect Topaz -> Magic Find Gloves	1				100	15				3	y01	"vgl,mag"	r03					useitem				JB-Total			-2	-2																					"vgl,crf"				mag%		1	5	3	hp			10	7	mana-kill			1	3											r03																													0
1 Magic Sash +  2 Jewel (Mini Cube) + 1 Tir Rune + 1 Perfect Topaz -> Magic Find Belt	1				100	15				3	y01	"lbl,mag"	r03					useitem				JB-Total			-2	-2																					"lbl,crf"				mag%		1	5	3	hp			10	7	cast1			5	10											r03																													0
1 Magic Shield +  2 Jewel (Mini Cube) + 1 Tir Rune + 1 Perfect Topaz -> Magic Find Shield	1				100	15				3	y01	"sml,mag"	r03					useitem				JB-Total			-2	-2																					"sml,crf"				mag%		1	5	3	hp			10	10	block			5	10											r03																													0
1 Magic Light Plate +  2 Jewel (Mini Cube) + 1 Tir Rune + 1 Perfect Topaz -> Magic Find Body	1				100	15				3	y01	"ltp,mag"	r03					useitem				JB-Total			-2	-2																					"ltp,crf"				mag%		1	20	3	hp			10	10	mana-kill			1	3											r03																													0
1 Magic Amulet +  2 Jewel (Mini Cube) + Tir Rune + 1 Perfect Topaz -> Magic Find Amulet	1				100	15				3	y01	"amul,mag"	r03					useitem				JB-Total			-2	-2																					"amul,crf"				mag%		1	10	4	hp			10	10	cast1			5	10											r03																													0
1 Magic Ring +  2 Jewel (Mini Cube) + 1 Tir Rune + 1 Perfect Topaz -> Magic Find Ring	1				100	15				3	y01	"ring,mag"	r03					useitem				JB-Total			-2	-2																					"ring,crf"				mag%		1	10	3	hp			10	6	enr			1	5											r03																													0
1 Magic Any Weapon +  2 Jewel (Mini Cube) + 1 Tir Rune + 1 Perfect Topaz -> Magic Find Weapon	1				100					4	"weap,mag"	jew	r03	gpy				"usetype,crf"		50	50	mag%		1	10	3	hp			10	7	mana%			1	5																																																																					0
1 Magic Full Helm +  2 Jewel (Mini Cube) + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Helm	1				100	15				3	y01	"fhl,mag"	r04					useitem				JB-Total			-2	-2																					"fhl,crf"				gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50											r04																													0
1 Magic Chain Boots +  2 Jewel (Mini Cube) + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Boots	1				100	15				3	y01	"mbt,mag"	r04					useitem				JB-Total			-2	-2																					"mbt,crf"				gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60											r04																													0
1 Magic Chain Gloves +  2 Jewel (Mini Cube) + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Gloves	1				100	15				3	y01	"mgl,mag"	r04					useitem				JB-Total			-2	-2																					"mgl,crf"				gethit-skill		44	5	4	thorns			3	7	knock			1	1											r04																													0
1 Magic Heavy Belt +  2 Jewel (Mini Cube) + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Belt	1				100	15				3	y01	"tbl,mag"	r04					useitem				JB-Total			-2	-2																					"tbl,crf"				gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10											r04																													0
1 Magic Gothic Shield +  2 Jewel (Mini Cube) + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Shield	1				100	15				3	y01	"gts,mag"	r04					useitem				JB-Total			-2	-2																					"gts,crf"				gethit-skill		44	5	4	thorns			3	10	block			5	10											r04																													0
1 Magic Field Plate +  2 Jewel (Mini Cube) + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Body	1				100	15				3	y01	"fld,mag"	r04					useitem				JB-Total			-2	-2																					"fld,crf"				gethit-skill		44	5	4	thorns			3	10	balance1			10	20											r04																													0
1 Magic Amulet +  2 Jewel (Mini Cube) + Nef Rune + 1 Perfect Sapphire -> Hit Power Amulet	1				100	15				3	y01	"amul,mag"	r04					useitem				JB-Total			-2	-2																					"amul,crf"				gethit-skill		44	5	4	thorns			3	10	howl			5	15											r04																													0
1 Magic Ring +  2 Jewel (Mini Cube) + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Ring	1				100	15				3	y01	"ring,mag"	r04					useitem				JB-Total			-2	-2																					"ring,crf"				gethit-skill		44	5	4	thorns			3	6	dex			1	5											r04																													0
1 Magic Blunt Weapon + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Weapon	1				100					4	"blun,mag"	jew	r04	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	dmg%			35	60																																																																					0
1 Magic Helm +  2 Jewel (Mini Cube) + 1 Eth Rune + 1 Perfect Ruby -> Blood Helm	1				100	15				3	y01	"hlm,mag"	r05					useitem				JB-Total			-2	-2																					"hlm,crf"				lifesteal			1	3	hp			10	20	deadly			5	10											r05																													0
1 Magic Light Plated Boots +  2 Jewel (Mini Cube) + 1 Eth Rune + 1 Perfect Ruby -> Blood Boots	1				100	15				3	y01	"tbt,mag"	r05					useitem				JB-Total			-2	-2																					"tbt,crf"				lifesteal			1	3	hp			10	20	regen			5	10											r05																													0
1 Magic Heavy Gloves +  2 Jewel (Mini Cube) + 1 Eth  Rune + 1 Perfect Ruby -> Blood Gloves	1				100	15				3	y01	"vgl,mag"	r05					useitem				JB-Total			-2	-2																					"vgl,crf"				lifesteal			1	3	hp			10	20	crush			5	10											r05																													0
1 Magic Belt +  2 Jewel (Mini Cube) + 1 Eth Rune + 1 Perfect Ruby -> Blood Belt	1				100	15				3	y01	"mbl,mag"	r05					useitem				JB-Total			-2	-2																					"mbl,crf"				lifesteal			1	3	hp			10	20	openwounds			5	10											r05																													0
1 Magic Spiked Shield +  2 Jewel (Mini Cube) + 1 Eth Rune + 1 Perfect Ruby -> Blood Shield	1				100	15				3	y01	"spk,mag"	r05					useitem				JB-Total			-2	-2																					"spk,crf"				lifesteal			1	3	hp			10	20	thorns			4	7											r05																													0
1 Magic Plate Mail +  2 Jewel (Mini Cube) + 1 Eth Rune + 1 Perfect Ruby -> Blood Body	1				100	15				3	y01	"plt,mag"	r05					useitem				JB-Total			-2	-2																					"plt,crf"				lifesteal			1	3	hp			10	20	demon-heal			1	3											r05																													0
1 Magic Amulet +  2 Jewel (Mini Cube) + 1 Eth Rune + 1 Perfect Ruby -> Blood Amulet	1				100	15				3	y01	"amul,mag"	r05					useitem				JB-Total			-2	-2																					"amul,crf"				lifesteal			1	4	hp			10	20	move1			5	10											r05																													0
1 Magic Ring +  2 Jewel (Mini Cube) + 1 Eth Rune + 1 Perfect Ruby -> Blood Ring	1				100	15				3	y01	"ring,mag"	r05					useitem				JB-Total			-2	-2																					"ring,crf"				lifesteal			1	3	hp			10	20	str			1	5											r05																													0
1 Magic Axe + 1 Jewel + Eth Rune + 1 Perfect Ruby -> Blood Weapon	1				100					4	"axe,mag"	jew	r05	gpr				"usetype,crf"		50	50	lifesteal			1	4	hp			10	20	dmg%			35	60																																																																					0
1 Magic Mask +  2 Jewel (Mini Cube) + Ith Rune + 1 Perfect Amethyst -> Caster Helm	1				100	15				3	y01	"msk,mag"	r06					useitem				JB-Total			-2	-2																					"msk,crf"				regen-mana			4	10	mana			10	20	manasteal			1	4											r06																													0
1 Magic Boots +  2 Jewel (Mini Cube) + Ith Rune + 1 Perfect Amethyst -> Caster Boots	1				100	15				3	y01	"lbt,mag"	r06					useitem				JB-Total			-2	-2																					"lbt,crf"				regen-mana			4	10	mana			10	20	mana%			2	5											r06																													0
1 Magic Leather Gloves +  2 Jewel (Mini Cube) + Ith Rune + 1 Perfect Amethyst -> Caster Gloves	1				100	15				3	y01	"lgl,mag"	r06					useitem				JB-Total			-2	-2																					"lgl,crf"				regen-mana			4	10	mana			10	20	mana-kill			1	3											r06																													0
1 Magic Light Belt +  2 Jewel (Mini Cube) + Ith Rune + 1 Perfect Amethyst -> Caster Belt	1				100	15				3	y01	"vbl,mag"	r06					useitem				JB-Total			-2	-2																					"vbl,crf"				regen-mana			4	10	mana			10	20	cast1			5	10											r06																													0
1 Magic Small Shield +  2 Jewel (Mini Cube) + 1 Ith Rune + 1 Perfect Amethyst -> Caster Shield	1				100	15				3	y01	"sml,mag"	r06					useitem				JB-Total			-2	-2																					"sml,crf"				regen-mana			4	10	mana			10	20	block			5	10											r06																													0
1 Magic Light Plate +  2 Jewel (Mini Cube) + 1 Ith Rune + 1 Perfect Amethyst -> Caster Body	1				100	15				3	y01	"ltp,mag"	r06					useitem				JB-Total			-2	-2																					"ltp,crf"				regen-mana			4	10	mana			10	20	mana-kill			1	3											r06																													0
1 Magic Amulet +  2 Jewel (Mini Cube) + 1 Ith Rune + 1 Perfect Amethyst -> Caster Amulet	1				100	15				3	y01	"amul,mag"	r06					useitem				JB-Total			-2	-2																					"amul,crf"				regen-mana			4	10	mana			10	20	cast1			5	10											r06																													0
1 Magic Ring +  2 Jewel (Mini Cube) + 1 Ith Rune + 1 Perfect Amethyst -> Caster Ring	1				100	15				3	y01	"ring,mag"	r06					useitem				JB-Total			-2	-2																					"ring,crf"				regen-mana			4	10	mana			10	20	enr			1	5											r06																													0
1 Magic Rod + 1 Jewel + 1 Ith Rune + 1 Perfect Amethyst -> Caster Weapon	1				100					4	"rod,mag"	jew	r06	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
1 Magic Crown +  2 Jewel (Mini Cube) + 1 Tal Rune + 1 Perfect Emerald -> Safety Helm	1				100	15				3	y01	"crn,mag"	r07					useitem				JB-Total			-2	-2																					"crn,crf"				red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30						r07																													0
1 Magic Plated Boots +  2 Jewel (Mini Cube) + 1 Tal Rune + 1 Perfect Emerald -> Safety Boots	1				100	15				3	y01	"hbt,mag"	r07					useitem				JB-Total			-2	-2																					"hbt,crf"				red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30						r07																													0
1 Magic Gauntlets +  2 Jewel (Mini Cube) + 1 Tal Rune + 1 Perfect Emerald -> Safety Gloves	1				100	15				3	y01	"hgl,mag"	r07					useitem				JB-Total			-2	-2																					"hgl,crf"				red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30						r07																													0
1 Magic Sash +  2 Jewel (Mini Cube) + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	1				100	15				3	y01	"lbl,mag"	r07					useitem				JB-Total			-2	-2																					"lbl,crf"				red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30						r07																													0
1 Magic Kite Shield +  2 Jewel (Mini Cube) + 1 Tal Rune + 1 Perfect Emerald -> Safety Shield	1				100	15				3	y01	"kit,mag"	r07					useitem				JB-Total			-2	-2																					"kit,crf"				red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30						r07																													0
1 Magic Breast Plate +  2 Jewel (Mini Cube) + 1 Tal Rune + 1 Perfect Emerald -> Safety Body	1				100	15				3	y01	"brs,mag"	r07					useitem				JB-Total			-2	-2																					"brs,crf"				red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30						r07																													0
1 Magic Amulet +  2 Jewel (Mini Cube) + 1 Tal Rune + 1 Perfect Emerald -> Safety Amulet	1				100	15				3	y01	"amul,mag"	r07					useitem				JB-Total			-2	-2																					"amul,crf"				red-dmg			1	4	red-mag			1	2	block			1	10											r07																													0
1 Magic Ring +  2 Jewel (Mini Cube) + 1 Tal Rune + 1 Perfect Emerald -> Safety Ring	1				100	15				3	y01	"ring,mag"	r07					useitem				JB-Total			-2	-2																					"ring,crf"				red-dmg			1	4	red-mag			1	2	vit			1	5											r07																													0
1 Magic Spear + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Weapon	1				100					4	"spea,mag"	jew	r07	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
~1 Magic Mask + 1 Jewel + 1 Ith Rune + 1 Perfect Topaz    Magic Find Helm	1				100	15				3	y01	"xsk,mag"	r03					useitem				JB-Total			-2	-2																					"xsk,crf"				mag%		1	5	3	hp			10	7	manasteal			1	4											r03																													0
~1 Magic Heavy Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Topaz    Magic Find Boots	1				100	15				3	y01	"xvb,mag"	r03					useitem				JB-Total			-2	-2																					"xvb,crf"				mag%		1	5	3	hp			10	7	mana%			2	5											r03																													0
~1 Magic Heavy Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Topaz    Magic Find Gloves	1				100	15				3	y01	"xvg,mag"	r03					useitem				JB-Total			-2	-2																					"xvg,crf"				mag%		1	5	3	hp			10	7	mana-kill			1	3											r03																													0
~1 Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Topaz    Magic Find Belt	1				100	15				3	y01	"zlb,mag"	r03					useitem				JB-Total			-2	-2																					"zlb,crf"				mag%		1	5	3	hp			10	7	cast1			5	10											r03																													0
~1 Magic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Topaz    Magic Find Shield	1				100	15				3	y01	"xml,mag"	r03					useitem				JB-Total			-2	-2																					"xml,crf"				mag%		1	5	3	hp			10	10	block			5	10											r03																													0
~1 Magic Light Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Topaz    Magic Find Body	1				100	15				3	y01	"xtp,mag"	r03					useitem				JB-Total			-2	-2																					"xtp,crf"				mag%		1	20	3	hp			10	10	mana-kill			1	3											r03																													0
~1 Magic Full Helm + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire    Hit Power Helm	1				100	15				3	y01	"xhl,mag"	r04					useitem				JB-Total			-2	-2																					"xhl,crf"				gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50											r04																													0
~1 Magic Chain Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Sapphire    Hit Power Boots	1				100	15				3	y01	"xmb,mag"	r04					useitem				JB-Total			-2	-2																					"xmb,crf"				gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60											r04																													0
~1 Magic Chain Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Sapphire    Hit Power Gloves	1				100	15				3	y01	"xmg,mag"	r04					useitem				JB-Total			-2	-2																					"xmg,crf"				gethit-skill		44	5	4	thorns			3	7	knock			1	1											r04																													0
~1 Magic Heavy Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Sapphire    Hit Power Belt	1				100	15				3	y01	"ztb,mag"	r04					useitem				JB-Total			-2	-2																					"ztb,crf"				gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10											r04																													0
~1 Magic Gothic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Sapphire    Hit Power Shield	1				100	15				3	y01	"xts,mag"	r04					useitem				JB-Total			-2	-2																					"xts,crf"				gethit-skill		44	5	4	thorns			3	10	block			5	10											r04																													0
~1 Magic Field Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire    Hit Power Body	1				100	15				3	y01	"xld,mag"	r04					useitem				JB-Total			-2	-2																					"xld,crf"				gethit-skill		44	5	4	thorns			3	10	balance1			10	20											r04																													0
~1 Magic Helm + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby    Blood Helm	1				100	15				3	y01	"xlm,mag"	r05					useitem				JB-Total			-2	-2																					"xlm,crf"				lifesteal			1	3	hp			10	20	deadly			5	10											r05																													0
~1 Magic Light Plated Boots + 1 Jewel + 1 Eth Rune + 1 Perfect Ruby    Blood Boots	1				100	15				3	y01	"xtb,mag"	r05					useitem				JB-Total			-2	-2																					"xtb,crf"				lifesteal			1	3	hp			10	20	regen			5	10											r05																													0
~1 Magic Heavy Gloves + 1 Jewel + 1 Nef Rune + 1 Perfect Ruby    Blood Gloves	1				100	15				3	y01	"xvg,mag"	r05					useitem				JB-Total			-2	-2																					"xvg,crf"				lifesteal			1	3	hp			10	20	crush			5	10											r05																													0
~1 Magic Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Ruby    Blood Belt	1				100	15				3	y01	"zmb,mag"	r05					useitem				JB-Total			-2	-2																					"zmb,crf"				lifesteal			1	3	hp			10	20	openwounds			5	10											r05																													0
~1 Magic Spiked Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Ruby    Blood Shield	1				100	15				3	y01	"xpk,mag"	r05					useitem				JB-Total			-2	-2																					"xpk,crf"				lifesteal			1	3	hp			10	20	thorns			4	7											r05																													0
~1 Magic Plate Mail + 1 Jewel + 1 Thul Rune + 1 Perfect Ruby    Blood Body	1				100	15				3	y01	"xlt,mag"	r05					useitem				JB-Total			-2	-2																					"xlt,crf"				lifesteal			1	3	hp			10	20	demon-heal			1	3											r05																													0
~1 Magic Axe + 1 Jewel + Ort Rune + 1 Perfect Ruby    Blood Weapon	1				100	15				3	y01	"axe,mag"	r05					useitem				JB-Total			-2	-2																					"axe,crf"				lifesteal			1	4	hp			10	20	dmg%			35	60											r05																													0
