Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Desert Mercenary	Off-Hell	0	14	744	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname108	30	Zeal	4	90	4	16	0	Blessed Aim	1	100	0	16	0																									5	15	2	50000	pal
Desert Mercenary	Prayer-Normal	100	6	744	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname99	30	Zeal	4	90	4	3	10	Meditation	1	100	0	3	7	Prayer	1	0	0	3	7	Sacrafice	1	0	0	3	10													1	15	2	50000	pal
Desert Mercenary	Prayer-Normal	100	6	744	2	1	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname99	30	Zeal	4	90	4	14	10	Meditation	1	100	0	11	7	Prayer	1	0	0	11	7	Sacrafice	1	0	0	14	10													1	15	2	50000	pal
Desert Mercenary	Prayer-Normal	100	6	744	2	1	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	30	Zeal	4	90	4	24	10	Meditation	1	100	0	18	0	Prayer	1	0	0	18	0	Sacrafice	1	0	0	24	10													1	15	2	50000	pal
Desert Mercenary	Defiance-Normal	100	7	744	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname104	30	Zeal	4	90	4	3	10	Salvation	1	100	0	3	7							Sacrafice	1	0	0	3	10													1	15	2	50000	pal
Desert Mercenary	Defiance-Normal	100	7	744	2	1	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname104	30	Zeal	4	90	4	14	10	Salvation	1	100	0	11	7							Sacrafice	1	0	0	14	10													1	15	2	50000	pal
Desert Mercenary	Defiance-Normal	100	7	744	2	1	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	30	Zeal	4	90	4	24	0	Salvation	1	100	0	18	0							Sacrafice	1	0	0	24	0													1	15	2	50000	pal
Desert Mercenary	BlessedAim-Normal	100	8	744	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname108	30	Zeal	4	90	4	3	10	Holy Freeze	1	100	0	3	7	Resist Cold	1	0	0	3	7	Sacrafice	1	0	0	3	10													1	15	2	50000	pal
Desert Mercenary	BlessedAim-Normal	100	8	744	2	1	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname108	30	Zeal	4	90	4	14	10	Holy Freeze	1	100	0	11	7	Resist Cold	1	0	0	11	7	Sacrafice	1	0	0	14	10													1	15	2	50000	pal
Desert Mercenary	BlessedAim-Normal	100	8	744	2	1	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	30	Zeal	4	90	4	24	0	Holy Freeze	1	100	0	18	0	Resist Cold	1	0	0	18	0	Sacrafice	1	0	0	24	0													1	15	2	50000	pal
Desert Mercenary	Prayer-Nightmare	100	30	744	2	2	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname99	30	Zeal	4	90	4	14	10	Meditation	1	100	0	11	7	Prayer	1	0	0	11	7	Sacrafice	1	0	0	14	10													1	15	2	50000	pal
Desert Mercenary	Prayer-Nightmare	100	30	744	2	2	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	30	Zeal	4	90	4	24	10	Meditation	1	100	0	18	0	Prayer	1	0	0	18	0	Sacrafice	1	0	0	24	10													1	15	2	50000	pal
Desert Mercenary	Defiance-Nightmare	100	31	744	2	2	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname104	30	Zeal	4	90	4	14	10	Holy Fire	1	100	0	11	7	Resist Fire	1	0	0	11	7	Sacrafice	1	0	0	14	10	Salvation	1	0	0	14	10							1	15	2	50000	pal
Desert Mercenary	Defiance-Nightmare	100	31	744	2	2	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	30	Zeal	4	90	4	24	0	Holy Fire	1	100	0	18	0	Resist Fire	1	0	0	18	0	Sacrafice	1	0	0	24	0	Salvation	1	0	0	24	0							1	15	2	50000	pal
Desert Mercenary	BlessedAim-Nightmare	100	32	744	2	2	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname108	30	Zeal	4	90	4	14	10	Holy Freeze	1	100	0	11	7	Resist Cold	1	0	0	11	7	Sacrafice	1	0	0	14	10													1	15	2	50000	pal
Desert Mercenary	BlessedAim-Nightmare	100	32	744	2	2	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	30	Zeal	4	90	4	24	0	Holy Freeze	1	100	0	18	0	Resist Cold	1	0	0	18	0	Sacrafice	1	0	0	24	0													1	15	2	50000	pal
Desert Mercenary	Thorns-Nightmare	100	9	744	2	2	43	198	merca201	merca221	7900	120	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname103	30	Zeal	4	90	4	13	10	Thorns	1	100	0	11	10							Sacrafice	1	0	0	13	10													1	15	2	50000	pal
Desert Mercenary	Thorns-Nightmare	100	9	744	2	2	75	198	merca201	merca221	15000	120	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname103	30	Zeal	4	90	4	23	10	Thorns	1	100	0	21	10							Sacrafice	1	0	0	23	10													1	15	2	50000	pal
Desert Mercenary	HolyFreeze-Nightmare	100	10	744	2	2	43	198	merca201	merca221	7900	120	630	20	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname114	30	Blessed Hammer	7	70	0	13	10	Concentration	1	10	0	6	10	Teleport	7	30	0	13	10	Vigor	1	0	0	13	10	Blessed Aim	1	0	0	13	10							1	15	2	50000	pal
Desert Mercenary	HolyFreeze-Nightmare	100	10	744	2	2	75	198	merca201	merca221	15000	120	1430	35	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname114	30	Blessed Hammer	7	70	0	23	0	Concentration	1	10	0	16	0	Teleport	7	30	0	23	0	Vigor	1	0	0	23	0	Blessed Aim	1	0	0	23	0							1	15	2	50000	pal
Desert Mercenary	Might-Nightmare	100	11	744	2	2	43	198	merca201	merca221	7900	120	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname98	30	Zeal	4	90	4	13	10	Fanaticism	1	100	0	7	8							Sacrafice	1	0	0	13	10													1	15	2	50000	pal
Desert Mercenary	Might-Nightmare	100	11	744	2	2	75	198	merca201	merca221	15000	120	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname98	30	Zeal	4	90	4	23	0	Fanaticism	1	100	0	15	8							Sacrafice	1	0	0	23	0													1	15	2	50000	pal
Desert Mercenary	Comb-Hell	100	12	744	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	30	Zeal	4	90	4	24	10	Meditation	1	100	0	18	0	Prayer	1	0	0	18	0	Sacrafice	1	0	0	24	10													1	15	2	50000	pal
Desert Mercenary	Def-Hell	100	13	744	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	30	Zeal	4	136	4	24	0	Defiance	1	1000	0	18	0							Sacrafice	1	0	0	24	0													1	15	2	50000	pal
Desert Mercenary	Off-Hell	100	14	744	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	30	Zeal	4	90	4	24	0	Holy Freeze	1	100	0	18	0	Resist Cold	1	0	0	18	0	Sacrafice	1	0	0	24	0													1	15	2	50000	pal
Desert Mercenary	Thorns-Hell	100	33	744	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname103	30	Zeal	4	90	4	23	10	Thorns	1	100	0	21	10							Sacrafice	1	0	0	23	10													1	15	2	50000	pal
Desert Mercenary	HolyFreeze-Hell	100	34	744	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname114	30	Blessed Hammer	7	70	4	23	0	Concentration	1	10	0	16	0	Teleport	7	30	0	16	0	Vigor	1	0	0	23	0	Blessed Aim	1	0	0	23	0							1	15	2	50000	pal
Desert Mercenary	Might-Hell	100	35	744	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname98	30	Zeal	4	90	4	23	0	Fanaticism	1	100	0	15	8							Sacrafice	1	0	0	23	0													1	15	2	50000	pal
Eastern Sorceror	Fire-Normal	0	15	743	3	1	15	252	merca222	merca241	1000	110	107	6	80	4	49	10	40	8	15	10	1	7	4	8	2	8	2	8	2	8	2	strhirespecial7	10	Inferno	7	60	0	6	10	Fire Ball	7	30	0	4	10																									5	15	2	50000	sor
Eastern Sorceror	Fire-Normal	0	15	743	3	1	37	252	merca222	merca241	1000	110	224	10	168	10	77	10	62	8	235	20	12	18	4	21	2	21	2	21	2	21	2	strhirespecial7	10	Inferno	7	60	0	13	10	Fire Ball	7	30	0	11	10																									5	15	2	50000	sor
Eastern Sorceror	Fire-Normal	0	15	743	3	1	61	252	merca222	merca241	1000	110	448	14	408	18	107	10	86	8	715	30	24	30	4	35	2	35	2	35	2	35	2	strhirespecial7	10	Inferno	7	60	0	21	10	Fire Ball	7	30	0	19	10																									5	15	2	50000	sor
Eastern Sorceror	Cold-Normal	0	16	743	3	1	15	252	merca222	merca241	1500	120	107	6	80	4	49	10	40	8	15	10	1	7	4	8	2	8	2	8	2	8	2	strhirespecial6	10	Glacial Spike	7	60	0	1	5	Chilling Armor	7	1000	0	2	10	Ice Blast	7	240	0	6	10																			5	15	2	50000	sor
Eastern Sorceror	Cold-Normal	0	16	743	3	1	37	252	merca222	merca241	1500	120	224	10	168	10	77	10	62	8	235	20	12	18	4	21	2	21	2	21	2	21	2	strhirespecial6	10	Glacial Spike	7	60	0	5	5	Chilling Armor	7	1000	0	9	10	Ice Blast	7	240	0	13	10																			5	15	2	50000	sor
Eastern Sorceror	Cold-Normal	0	16	743	3	1	61	252	merca222	merca241	1500	120	448	14	408	16	107	10	86	8	715	30	24	30	4	35	1	35	1	35	1	35	1	strhirespecial6	10	Glacial Spike	7	60	0	9	5	Chilling Armor	7	1000	0	17	10	Ice Blast	7	240	0	21	10																			5	15	2	50000	sor
Eastern Sorceror	Ltng-Normal	0	17	743	3	1	15	252	merca222	merca241	1000	110	107	6	80	4	49	10	40	8	15	10	1	7	4	8	2	8	2	8	2	8	2	strhirespecial5	10	Charged Bolt	7	60	0	4	5	Lightning	7	30	0	3	10																									5	15	2	50000	sor
Eastern Sorceror	Ltng-Normal	0	17	743	3	1	37	252	merca222	merca241	1000	110	224	10	168	10	77	10	62	8	235	20	12	18	4	21	2	21	2	21	2	21	2	strhirespecial5	10	Charged Bolt	7	60	0	8	5	Lightning	7	30	0	10	10																									5	15	2	50000	sor
Eastern Sorceror	Ltng-Normal	0	17	743	3	1	61	252	merca222	merca241	1000	110	448	14	408	16	107	10	86	8	715	30	24	30	4	35	1	35	1	35	1	35	1	strhirespecial5	10	Charged Bolt	7	60	0	12	5	Lightning	7	30	0	18	10																									5	15	2	50000	sor
Eastern Sorceror	Fire-Nightmare	0	18	743	3	2	37	252	merca222	merca241	9500	120	202	10	151	10	73	10	58	8	212	20	10	16	4	20	2	20	2	20	2	20	2	strhirespecial7	10	Inferno	7	60	0	12	10	Fire Ball	7	30	0	10	10																									5	15	2	50000	sor
Eastern Sorceror	Fire-Nightmare	0	18	743	3	2	61	252	merca222	merca241	9500	120	426	14	391	16	103	10	82	8	692	30	22	28	4	34	1	34	1	34	1	34	1	strhirespecial7	10	Inferno	7	60	0	20	10	Fire Ball	7	30	0	18	10																									5	15	2	50000	sor
