Id	*hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	CannotDesecrate	rightArmItemType	leftArmItemType	canNotUseTwoHandedItems	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	ShieldBlockOverride	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass	TreasureClassChamp	TreasureClassUnique	TreasureClassQuest	TreasureClassDesecrated	TreasureClassDesecratedChamp	TreasureClassDesecratedUnique	TreasureClass(N)	TreasureClassChamp(N)	TreasureClassUnique(N)	TreasureClassQuest(N)	TreasureClassDesecrated(N)	TreasureClassDesecratedChamp(N)	TreasureClassDesecratedUnique(N)	TreasureClass(H)	TreasureClassChamp(H)	TreasureClassUnique(H)	TreasureClassQuest(H)	TreasureClassDesecrated(H)	TreasureClassDesecratedChamp(H)	TreasureClassDesecratedUnique(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol		
bighead1	10	bighead1	bighead2	0	Afflicted	bighead1		bighead	Bighead		BH	1	1												2	3		7	9	1	18	43	73	bighead	bighead	10	15	7	0			46	88	75	75	40	30	30	0	20	30	60	70	80														bighead1								1								1		1			1	1																																					100	85	75	-50	-40	-33	30	30	10	105	10	10	10	30	10	128	10	113	38	50	30	150	30	10	2				11	11	11	5	66	127	63	81	76	113	77							260	480	360	125	200	400	440							540	750	300	600	660									A2	75	110		100	280	360		100	640	800		A1	ltng					15	40	80		35	60	120																		Act 1 Cast C	Act 1 Champ C	Act 1 Unique C					Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C					Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C			Act 1 (H) Champ C Desecrated	Act 1 (H) Unique C Desecrated							0		
bighead2	11	bighead1	bighead3	1	Tainted	bighead2		bighead	Bighead		BH	1	1												2	4		7	9	1	17	42	72	bighead	bighead	10	15	7	0			46	86	100	100	40	40	40	0	30	40	60	70	80														bighead2								1								1		1			1	1																																					100	85	75	-50	-40	-33	30	30	10	90	10	10	10	30	10	120	10	113	38	50	30	158	30	10	2				10	10	10	5	67	130	63	81	63	101	74							260	480	360	125	200	400	440							540	750	300	600	660									A2	75	110		100	280	360		100	640	800		A1	ltng					15	40	80		35	60	120																		Act 1 Cast C	Act 1 Champ C	Act 1 Unique C					Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C					Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C			Act 1 (H) Champ C Desecrated	Act 1 (H) Unique C Desecrated							0		
bighead3	12	bighead1	bighead4	2	Misshapen	bighead3		bighead	Bighead		BH	1	1												1	2		6	8	1	8	37	69	bighead	bighead	10	15	7	0			46	80	50	50	40	50	50	0	40	50	60	70	80														bighead3								1								1		1			1	1																																					100	85	75	-50	-40	-33	30	30	10	60	10	10	10	30	10	105	10	10	38	50	30	165	30	10	2				5	5	5	5	62	124	64	81	76	101	73							260	480	360	125	200	400	440							540	750	300	600	660									A2	75	110		100	280	360		100	640	800		A1	ltng					15	40	80		35	60	120																		Act 1 Cast B	Act 1 Champ B	Act 1 Unique B					Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B					Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B			Act 1 (H) Champ B Desecrated	Act 1 (H) Unique B Desecrated							0		
bighead4	13	bighead1	bighead5	3	Disfigured	bighead4		bighead	Bighead		BH	1	1												1	3		6	8	1	12	40	70	bighead	bighead	10	15	7	0			46	83	0	0	40	40	40	0	50	65	60	70	80														bighead4								1								1		1			1	1																																					100	85	75	-50	-40	-33	30	30	10	75	10	10	10	30	10	113	10	10	38	50	30	173	30	10	2				8	8	8	5	67	128	63	81	67	101	77							260	480	360	125	200	400	440							540	750	300	600	660									A2	75	110		100	280	360		100	640	800		A1	ltng					15	40	80		35	60	120																		Act 1 Cast B	Act 1 Champ B	Act 1 Unique B					Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B					Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B			Act 1 (H) Champ B Desecrated	Act 1 (H) Unique B Desecrated							0		
bighead5	14	bighead1	bighead6	4	Damned	bighead5		bighead	Bighead		BH	1	1												3	4		8	10	2	41	57	84	bighead	bighead	10	15	7	0			46	90	33	33	40	30	30	0	60	80	60	70	80														bighead5								1								1		1			1	1																																					100	85	75	-50	-40	-33	30	30	10	120	10	10	10	30	10	150	10	10	38	50	30	173	30	10	2				22	22	22	5	65	126	63	88	71	106	75							260	480	360	125	200	400	440							540	750	300	600	660									A2	75	110		100	280	360		100	640	800		A1	ltng					15	40	80		35	60	120																		Act 4 Cast A	Act 4 Champ A	Act 4 Unique A					Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A					Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A			Act 4 (H) Champ A Desecrated	Act 4 (H) Unique A Desecrated							0		
foulcrow1	15	foulcrow1	foulcrow2	0	FoulCrow	foulcrow1		foulcrow	BloodHawk		BK	1													2	4		5	7	2	6	37	68	foulcrow	foulcrow	10	15	7	0			46	30	45	65	90	90	90	5	10	10	50	60	70	100	100	100																			1	1								1				1	1		1																																			100	100	100	-50	-40	-33	30	30	10	10	10	10	10	30	10	10	10	10	30	50	38	30	30	150	2				5	5	5	5	19	46	13	37	26	51	89							80	180	480	40	280	440	460							720	240	420	660	690									A1				15	20	66	100	25	40	132	100																															Act 1 Cast A	Act 1 Champ A	Act 1 Unique A					Act 1 (N) Cast A	Act 1 (N) Champ A	Act 1 (N) Unique A					Act 1 (H) Cast A	Act 1 (H) Champ A	Act 1 (H) Unique A			Act 1 (H) Champ A Desecrated	Act 1 (H) Unique A Desecrated							0		
foulcrow2	16	foulcrow1	foulcrow3	1	BloodHawk	foulcrow2		foulcrow	BloodHawk		BK	1													3	4		5	7	2	9	38	69	foulcrow	foulcrow	10	15	7	0			46	30	50	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1		1																																			100	100	100	-50	-40	-33	30	30	10	10	10	10	10	30	10	10	10	10	30	50	38	30	30	158	2				7	7	7	5	21	41	14	37	41	61	93							80	180	480	40	280	440	460							720	240	420	660	690									A1				15	20	66	100	25	40	132	100																															Act 1 Cast B	Act 1 Champ B	Act 1 Unique B					Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B					Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B			Act 1 (H) Champ B Desecrated	Act 1 (H) Unique B Desecrated							0		
foulcrow3	17	foulcrow1	foulcrow4	2	BlackRaptor	foulcrow3		foulcrow	BloodHawk		BK	1													3	5		6	8	2	24	45	76	foulcrow	foulcrow	10	15	7	0			46	30	55	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1		1																																			100	100	100	-50	-40	-33	30	30	10	10	10	90	10	30	10	10	10	120	30	50	38	30	30	158	2				17	17	17	5	21	45	13	37	37	64	94							80	180	480	40	280	440	460							720	240	420	660	690									A1				15	20	66	100	25	40	132	100																															Act 2 Cast B	Act 2 Champ B	Act 2 Unique B					Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B					Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B			Act 2 (H) Champ B Desecrated	Act 2 (H) Unique B Desecrated							0		
foulcrow4	18	foulcrow1	foulcrow5	3	CloudStalker	foulcrow4		foulcrow	BloodHawk		BK	1													4	5		7	9	2	33	49	79	foulcrow	foulcrow	10	15	7	0			46	30	60	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1		1																																			100	100	100	-50	-40	-33	20	20	30	90	10	10	60	30	75	120	10	10	30	50	75	150	30	10	2				22	22	22	5	22	44	13	36	36	72	94							80	180	480	40	280	440	460							720	240	420	660	690									A1				15	20	66	100	25	40	132	100																															Act 3 Cast A	Act 3 Champ A	Act 3 Unique A					Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A					Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A			Act 3 (H) Champ A Desecrated	Act 3 (H) Unique A Desecrated							0		
fallen1	19	fallen1	fallen2	0	Fallen	fallen1		fallen	Fallen		FA	1							fallen1		1	1	2	3	2	3		6	8	2	2	36	67	fallen	fallen	10	15	7	0			46	30	40	50	10	15	20	50	60	70	20	25	30																						1	1							1		1			1	1							1																														100	85	75	-50	-40	-33	30	30	10	10	10	10	10	30	10	10	10	10	23	50	150	30	60	10	2				9	9	9	5	21	61	84	61	51	101	101	51	101	101				100	220	280	65	180	360	360	200	400	340				420	390	270	540	540	300	600	510						A1				10	40	60		20	80	120																																Act 1 H2H A	Act 1 Champ A	Act 1 Unique A					Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A					Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A			Act 1 (H) Champ A Desecrated	Act 1 (H) Unique A Desecrated							0		
fallen2	20	fallen1	fallen3	1	Carver	fallen2		fallen	Fallen		FA	1							fallen2		1	1	2	4	2	4		6	8	2	8	38	68	fallen	fallen	10	15	7	0			46	45	50	55	15	18	24	60	70	80	25	30	35																						1	1							1		1			1	1							1																														100	85	75	-50	-40	-33	30	30	10	10	10	10	10	30	10	10	10	10	23	50	165	30	60	10	2				16	16	16	5	24	54	84	61	51	101	91	51	101	91				100	220	280	65	180	360	360	200	400	340				420	390	270	540	540	300	600	510						A1				10	30	40	150	20	60	80	200																															Act 1 H2H B	Act 1 Champ B	Act 1 Unique B					Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B					Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B			Act 1 (H) Champ B Desecrated	Act 1 (H) Unique B Desecrated							0		
fallen3	21	fallen1	fallen4	2	Devilkin	fallen3		fallen	Fallen		FA	1							fallen3		1	1	3	4	3	4		7	9	2	11	39	85	fallen	fallen	10	15	7	0			46	55	60	60	20	22	30	70	80	90	30	35	40																						1	1							1		1			1	1							1																														100	85	75	-50	-40	-33	30	30	10	10	10	10	10	30	10	10	10	10	23	50	173	30	60	10	2				25	25	25	5	18	53	84	59	41	101	94	41	101	94				100	220	280	65	180	360	360	200	400	340				420	390	270	540	540	300	600	510						A1				10	2	100		20	4	320																																Act 1 H2H B	Act 1 Champ B	Act 1 Unique B					Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B					Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B			Act 1 (H) Champ B Desecrated	Act 1 (H) Unique B Desecrated							0		
fallen4	22	fallen1	fallen5	3	DarkOne	fallen4		fallen	Fallen		FA	1							fallen4		1	1	3	5	3	5		7	9	2	15	41	71	fallen	fallen	10	15	7	0			46	65	70	70	25	26	30	80	90	95	35	40	45																						1	1							1		1			1	1							1																														100	85	75	-50	-40	-33	30	30	10	10	10	10	10	30	10	10	10	10	23	50	173	30	60	10	2				36	36	36	5	23	55	84	60	43	101	91	43	101	91				100	220	280	65	180	360	360	200	400	340				420	390	270	540	540	300	600	510						A1				10	20	30	50	20	40	60	75																															Act 1 H2H C	Act 1 Champ C	Act 1 Unique C					Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C					Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C			Act 1 (H) Champ C Desecrated	Act 1 (H) Unique C Desecrated							0		
fallen5	23	fallen1	fallen6	4	WarpedFallen	fallen5		fallen	Fallen		FA	1							fallen5		1	1	1	1	1	1		9	11	2	60	55	83	fallen	fallen	10	15	7	0			46	75	80	80	30	30	30	90	95	99	40	45	50																						1	1							1		1			1	1							1																														100	85	75	-50	-40	-33	150	150	75	75	75	75	99	99	99	99	99	99	38	113	113	113	113	113	2				49	49	49	5	21	55	84	93	45	93	93	45	97	93				100	220	280	65	180	360	360	200	400	340				420	390	270	540	540	300	600	510						A1				10	40	50	175	10	80	100	225																															Act 5 H2H C	Act 5 Champ C	Act 5 Unique C					Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C					Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C			Act 5 (H) Champ C Desecrated	Act 5 (H) Unique C Desecrated							0		
brute2	24	brute2	brute3	0	Brute	brute2		brute	Brute		YE	1													1	2		5	7	1	14	38	69	brute	brute	10	15	7	0			46				0	0	0	75	75	80	100	100	90																						1	1									1			1	1							1																														100	100	100	-50	-40	-33	105	30	10	10	10	10	10	30	10	10	10	10	75	50	30	30	173	10	2				6	6	6	5	139	224	84	121	76	101	91	126	151	91				580	840	340	120	280	480	380	440	560	400				510	720	420	720	570	660	840	600																																																Act 1 H2H B	Act 1 Champ B	Act 1 Unique B					Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B					Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B			Act 1 (H) Champ B Desecrated	Act 1 (H) Unique B Desecrated							0		
