Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
95	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	15
96	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	11
97	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	8
98	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	6
99	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	5
100	4038290930	4038290930	4038290930	4038290930	4038290930	4038290930	4038290930	5
101	4296198490	4296198490	4296198490	4296198490	4296198490	4296198490	4296198490	5
102	4554106050	4554106050	4554106050	4554106050	4554106050	4554106050	4554106050	5
103	4812013610	4812013610	4812013610	4812013610	4812013610	4812013610	4812013610	5
104	5069921170	5069921170	5069921170	5069921170	5069921170	5069921170	5069921170	5
105	5327828731	5327828731	5327828731	5327828731	5327828731	5327828731	5327828731	5
106	5585736291	5585736291	5585736291	5585736291	5585736291	5585736291	5585736291	5
107	5843643851	5843643851	5843643851	5843643851	5843643851	5843643851	5843643851	5
108	6101551411	6101551411	6101551411	6101551411	6101551411	6101551411	6101551411	5
109	6359458971	6359458971	6359458971	6359458971	6359458971	6359458971	6359458971	5
110	6617366531	6617366531	6617366531	6617366531	6617366531	6617366531	6617366531	5
111	6875274091	6875274091	6875274091	6875274091	6875274091	6875274091	6875274091	5
112	7133181652	7133181652	7133181652	7133181652	7133181652	7133181652	7133181652	5
113	7391089212	7391089212	7391089212	7391089212	7391089212	7391089212	7391089212	5
114	7648996772	7648996772	7648996772	7648996772	7648996772	7648996772	7648996772	5
115	7906904332	7906904332	7906904332	7906904332	7906904332	7906904332	7906904332	5
116	8164811892	8164811892	8164811892	8164811892	8164811892	8164811892	8164811892	5
117	8422719452	8422719452	8422719452	8422719452	8422719452	8422719452	8422719452	5
118	8680627012	8680627012	8680627012	8680627012	8680627012	8680627012	8680627012	5
119	8938534573	8938534573	8938534573	8938534573	8938534573	8938534573	8938534573	5
120	9196442133	9196442133	9196442133	9196442133	9196442133	9196442133	9196442133	5
121	9454349693	9454349693	9454349693	9454349693	9454349693	9454349693	9454349693	5
122	9712257253	9712257253	9712257253	9712257253	9712257253	9712257253	9712257253	5
123	9970164813	9970164813	9970164813	9970164813	9970164813	9970164813	9970164813	5
124	10228072373	10228072373	10228072373	10228072373	10228072373	10228072373	10228072373	5
125	10485979933	10485979933	10485979933	10485979933	10485979933	10485979933	10485979933	5
126	10743887494	10743887494	10743887494	10743887494	10743887494	10743887494	10743887494	5
127	11001795054	11001795054	11001795054	11001795054	11001795054	11001795054	11001795054	5
128	11259702614	11259702614	11259702614	11259702614	11259702614	11259702614	11259702614	5
129	11517610174	11517610174	11517610174	11517610174	11517610174	11517610174	11517610174	5
130	11775517734	11775517734	11775517734	11775517734	11775517734	11775517734	11775517734	5
131	12033425294	12033425294	12033425294	12033425294	12033425294	12033425294	12033425294	5
132	12291332854	12291332854	12291332854	12291332854	12291332854	12291332854	12291332854	5
133	12549240415	12549240415	12549240415	12549240415	12549240415	12549240415	12549240415	5
134	12807147975	12807147975	12807147975	12807147975	12807147975	12807147975	12807147975	5
135	13065055535	13065055535	13065055535	13065055535	13065055535	13065055535	13065055535	5
136	13322963095	13322963095	13322963095	13322963095	13322963095	13322963095	13322963095	5
137	13580870655	13580870655	13580870655	13580870655	13580870655	13580870655	13580870655	5
138	13838778215	13838778215	13838778215	13838778215	13838778215	13838778215	13838778215	5
139	14096685775	14096685775	14096685775	14096685775	14096685775	14096685775	14096685775	5
140	14354593336	14354593336	14354593336	14354593336	14354593336	14354593336	14354593336	5
141	14612500896	14612500896	14612500896	14612500896	14612500896	14612500896	14612500896	5
142	14870408456	14870408456	14870408456	14870408456	14870408456	14870408456	14870408456	5
143	15128316016	15128316016	15128316016	15128316016	15128316016	15128316016	15128316016	5
144	15386223576	15386223576	15386223576	15386223576	15386223576	15386223576	15386223576	5
145	15644131136	15644131136	15644131136	15644131136	15644131136	15644131136	15644131136	5
146	15902038696	15902038696	15902038696	15902038696	15902038696	15902038696	15902038696	5
147	16159946257	16159946257	16159946257	16159946257	16159946257	16159946257	16159946257	5
148	16417853817	16417853817	16417853817	16417853817	16417853817	16417853817	16417853817	5
149	16675761377	16675761377	16675761377	16675761377	16675761377	16675761377	16675761377	5
150	16933668937	16933668937	16933668937	16933668937	16933668937	16933668937	16933668937	5
